time,vsched,vroll
7.6,24.27140021,23.35418125
7.7,24.70140032,23.69801414
7.8,25.13140042,24.05485635
7.9,25.56140001,24.44675122
8,25.99140011,24.8963766
8.1,26.14700007,25.36672756
8.2,26.29700011,25.82731482
8.3,26.44700015,26.04795824
8.4,26.597,26.47676041
8.5,26.74700004,26.87653262
8.6,26.89700007,27.19481787
8.7,27.04700011,27.41721342
8.8,27.19700015,27.52171986
8.9,27.347,27.55206761
9,27.49700004,27.60847546
9.1,27.55880003,27.64438712
9.2,27.61880004,27.67066442
9.3,27.67880006,27.69469174
9.4,27.7388,27.70034839
9.5,27.79880002,27.70965087
9.6,27.85880003,27.72420978
9.7,27.91880004,27.73929824
9.8,27.97880006,27.76066319
9.9,28.0388,27.79306323
10,28.09880002,27.83249871
10.1,28.11960001,27.87814722
10.2,28.13960001,27.92865439
10.3,28.15960002,27.97337802
10.4,28.1796,28.02749442
10.5,28.19960001,28.08542991
10.6,28.21960001,28.14481495
10.7,28.23960001,28.19881665
10.8,28.25960002,28.24532903
10.9,28.2796,28.26685504
11,28.29960001,28.30927989
11.1,28.34900002,28.34537213
11.2,28.39900004,28.3756003
11.3,28.44900005,28.39797554
11.4,28.499,28.41081891
11.5,28.54900001,28.41461604
11.6,28.59900002,28.41173403
11.7,28.64900004,28.40592852
11.8,28.69900005,28.40934496
11.9,28.749,28.42108043
12,28.79900001,28.43619085
12.1,28.82940001,28.47601189
12.2,28.85940002,28.51474455
12.3,28.88940003,28.56127402
12.4,28.9194,28.61528304
12.5,28.94940001,28.66298874
12.6,28.97940001,28.71656582
12.7,29.00940002,28.77165103
12.8,29.03940003,28.82816626
12.9,29.0694,28.88924487
13,29.09940001,28.94963043
13.1,29.26660008,29.00722428
13.2,29.43660012,29.0658455
13.3,29.60660017,29.12794904
13.4,29.7766,29.19465014
13.5,29.94660004,29.23046907
13.6,30.11660008,29.31054552
13.7,30.28660012,29.40543224
13.8,30.45660017,29.53109132
13.9,30.6266,29.69276211
14,30.79660004,29.86996306
14.1,30.90780005,30.05977798
14.2,31.01780008,30.24179855
14.3,31.12780011,30.42617646
14.4,31.2378,30.60899989
14.5,31.34780003,30.80136494
14.6,31.45780005,31.01217389
14.7,31.56780008,31.31490702
14.8,31.67780011,31.49650541
14.9,31.7878,31.65669249
15,31.89780003,31.802184
